sector_purpose,year,value,scenario,variant,unit
Raumwärme,2041,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2042,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2043,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2044,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2045,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2046,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2047,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2048,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2049,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2050,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2051,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2052,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2053,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2054,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2055,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2056,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2057,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2058,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2059,0.0,ZERO-Basis,KKW50,PJ
Raumwärme,2060,0.0,ZERO-Basis,KKW50,PJ
Warmwasser,2000,0.21652541755206087,ZERO-Basis,KKW50,PJ
Warmwasser,2001,0.30091301224422423,ZERO-Basis,KKW50,PJ
Warmwasser,2002,0.2213546898932865,ZERO-Basis,KKW50,PJ
Warmwasser,2003,0.22794672328147333,ZERO-Basis,KKW50,PJ
Warmwasser,2004,0.23445327719199582,ZERO-Basis,KKW50,PJ
Warmwasser,2005,0.21036178823402507,ZERO-Basis,KKW50,PJ
Warmwasser,2006,0.12026504093731359,ZERO-Basis,KKW50,PJ
Warmwasser,2007,0.11154372892317109,ZERO-Basis,KKW50,PJ
Warmwasser,2008,0.10235164398216756,ZERO-Basis,KKW50,PJ
Warmwasser,2009,0.09847836598063227,ZERO-Basis,KKW50,PJ
Warmwasser,2010,0.08927039402891515,ZERO-Basis,KKW50,PJ
Warmwasser,2011,0.11782211874121508,ZERO-Basis,KKW50,PJ
Warmwasser,2012,0.1072341681262556,ZERO-Basis,KKW50,PJ
Warmwasser,2013,0.09777135550610679,ZERO-Basis,KKW50,PJ
Warmwasser,2014,0.0808150601055144,ZERO-Basis,KKW50,PJ
Warmwasser,2015,0.08521452942594852,ZERO-Basis,KKW50,PJ
Warmwasser,2016,0.08880079304143862,ZERO-Basis,KKW50,PJ
Warmwasser,2017,0.11784707736154655,ZERO-Basis,KKW50,PJ
Warmwasser,2018,0.1023574427423218,ZERO-Basis,KKW50,PJ
Warmwasser,2019,0.09218293245195235,ZERO-Basis,KKW50,PJ
Warmwasser,2020,0.11901071258798616,ZERO-Basis,KKW50,PJ
Warmwasser,2021,0.12101314917944858,ZERO-Basis,KKW50,PJ
Warmwasser,2022,0.12219222845355224,ZERO-Basis,KKW50,PJ
Warmwasser,2023,0.122406051083774,ZERO-Basis,KKW50,PJ
Warmwasser,2024,0.12031759568237613,ZERO-Basis,KKW50,PJ
Warmwasser,2025,0.12175862802011644,ZERO-Basis,KKW50,PJ
Warmwasser,2026,0.12016118901299268,ZERO-Basis,KKW50,PJ
Warmwasser,2027,0.12023165014335285,ZERO-Basis,KKW50,PJ
Warmwasser,2028,0.11719874605615095,ZERO-Basis,KKW50,PJ
Warmwasser,2029,0.11735581572397491,ZERO-Basis,KKW50,PJ
Warmwasser,2030,0.1167626041704778,ZERO-Basis,KKW50,PJ
Warmwasser,2031,0.11506832985115915,ZERO-Basis,KKW50,PJ
Warmwasser,2032,0.1166143745919359,ZERO-Basis,KKW50,PJ
Warmwasser,2033,0.1161701977363726,ZERO-Basis,KKW50,PJ
Warmwasser,2034,0.11577153315769814,ZERO-Basis,KKW50,PJ
Warmwasser,2035,0.11521176502440608,ZERO-Basis,KKW50,PJ
Warmwasser,2036,0.11598527004444778,ZERO-Basis,KKW50,PJ
Warmwasser,2037,0.11636889823633165,ZERO-Basis,KKW50,PJ
Warmwasser,2038,0.11578892494160942,ZERO-Basis,KKW50,PJ
Warmwasser,2039,0.11836901999607194,ZERO-Basis,KKW50,PJ
Warmwasser,2040,0.11836311574442308,ZERO-Basis,KKW50,PJ
Warmwasser,2041,0.11895779669163838,ZERO-Basis,KKW50,PJ
Warmwasser,2042,0.11985497927581176,ZERO-Basis,KKW50,PJ
Warmwasser,2043,0.12031869607214246,ZERO-Basis,KKW50,PJ
Warmwasser,2044,0.12059033308212956,ZERO-Basis,KKW50,PJ
Warmwasser,2045,0.11967928838590015,ZERO-Basis,KKW50,PJ
Warmwasser,2046,0.11754705488959143,ZERO-Basis,KKW50,PJ
Warmwasser,2047,0.11821156262123095,ZERO-Basis,KKW50,PJ
Warmwasser,2048,0.11965132417843728,ZERO-Basis,KKW50,PJ
Warmwasser,2049,0.1190706686725834,ZERO-Basis,KKW50,PJ
Warmwasser,2050,0.11993064956147854,ZERO-Basis,KKW50,PJ
